,0
0,40
1,73
2,180
3,318
4,347
5,432
6,469
7,482
8,494
9,546
10,579
11,733
12,955
13,1076
14,1151
15,1192
16,1371
17,1374
18,1451
19,1483
20,1635
21,1840
22,1912
23,1929
24,2029
25,2062
26,2066
27,2099
28,2105
29,2112
30,2189
31,2233
32,2335
33,2414
34,2428
35,2498
36,2597
37,2598
38,2689
39,2696
40,2725
41,2731
42,2803
43,2874
44,2900
45,2926
46,2957
47,3057
48,3102
49,3158
50,3162
51,3257
52,3451
53,3572
54,3578
55,3776
56,4052
57,4054
58,4061
59,4083
60,4105
61,4382
62,4735
63,4945
64,5230
65,5278
66,5289
67,5374
68,5511
69,5521
70,5522
71,5580
72,5586
73,5615
74,5664
75,5669
76,5706
77,5723
78,5869
79,6069
80,6082
81,6189
82,6419
83,6470
84,6553
85,6748
86,6761
87,6778
88,6800
89,6917
90,7001
91,7077
92,7089
93,7150
94,7330
95,7428
96,7438
97,7439
98,7506
99,7588
100,7719
101,7727
102,7742
103,7750
104,7907
105,7950
106,8068
107,8228
108,8300
109,8447
110,8508
111,8520
112,8535
113,8539
114,8576
115,8676
116,8758
117,8796
118,8835
119,9014
120,9030
121,9184
122,9280
123,9284
124,9409
125,9496
126,9640
127,9790
128,9801
129,10133
130,10151
131,10180
132,10231
133,10242
134,10269
135,10302
136,10344
137,10445
138,10640
139,10836
140,10861
141,10936
142,11024
143,11027
144,11051
145,11218
146,11231
147,11253
148,11391
149,11401
150,11620
151,11780
152,11903
153,11908
154,11928
155,12000
156,12018
157,12105
158,12124
159,12201
160,12257
161,12265
162,12300
163,12405
164,12548
165,12635
166,12646
167,12787
168,12956
169,12979
170,13099
171,13122
172,13169
173,13204
174,13371
175,13384
176,13466
177,13493
178,13578
179,13601
180,13642
181,13665
182,14223
183,14317
184,14461
185,14479
186,14599
187,14731
188,14763
189,15290
190,15405
191,15450
192,15707
193,15790
194,15839
195,15844
196,16170
197,16184
198,16213
199,16302
200,16362
201,16375
202,16394
203,16437
204,16459
205,16487
206,16553
207,16577
208,16752
209,16795
210,16866
211,17072
212,17107
213,17297
214,17578
215,17651
216,17832
217,17910
218,18037
219,18119
220,18188
221,18272
222,18434
223,18463
224,18549
225,18585
226,18637
227,18702
228,18806
229,18836
230,18846
231,18896
232,18939
233,18959
234,18969
235,19061
236,19119
237,19174
238,19301
239,19439
240,19497
241,19682
242,19695
243,19783
244,19886
245,19977
246,20014
247,20059
248,20087
249,20200
250,20273
251,20298
252,20306
253,20392
254,20460
255,20478
256,20699
257,20777
258,20821
259,20857
260,20896
261,20914
262,20996
263,21154
